CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language
Mon Jul 07 11:07:42 +0000 2014,486104263827783680,#FifaWorldCup: #Neymar cried 'I can't feel my legs' after challenge http://t.co/X8BDfqlmkl http://t.co/ufgzeucDHq,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,117,89,Neymar,,http://t.co/X8BDfqlmkl,http://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2014/top-stories/Fifa-World-Cup-2014-Neymar-cried-I-cant-feel-my-legs-after-challenge/articleshow/37947375.cms,90,113,http://pbs.twimg.com/media/Br79PgPCEAAoKRO.jpg,http://t.co/ufgzeucDHq,photo,,,,false,false,false,en
Mon Jul 07 10:55:08 +0000 2014,486101102215974914,TOI's Siddharth Saxena on Continental face-offs adding spice to #WorldCup semis http://t.co/ObUb67sYQS,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,9,8,WorldCup,,http://t.co/ObUb67sYQS,http://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2014/top-stories/Fifa-World-Cup-2014-Continental-face-offs-add-spice-to-semis/articleshow/37943029.cms,102,,,,,,,,false,false,false,en
Mon Jul 07 10:50:14 +0000 2014,486099869740695552,#DUAdmissions: Third list to be released on July 8 http://t.co/5CM2cTiP6u,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,6,4,DUAdmissions,,http://t.co/5CM2cTiP6u,http://timesofindia.indiatimes.com/home/education/news/Admissions-at-DU-Third-list-to-be-released-on-July-8/articleshow/37933752.cms,73,,,,,,,,false,false,false,en
Mon Jul 07 10:48:44 +0000 2014,486099492433702912,"Social, Hauz Khas Village: First Look http://t.co/J8Qo2dpQyU via @TimesCity http://t.co/mw17HHCnKd","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,21,20,,,http://t.co/J8Qo2dpQyU,http://timescity.com/blog/social-hauz-khas-village-review/#.U7p6bRdMRVE.twitter,60,98,http://pbs.twimg.com/media/Br746KvCAAMXou9.jpg,http://t.co/mw17HHCnKd,photo,Timescity,Timescity,102963616,false,false,false,en
Mon Jul 07 10:45:10 +0000 2014,486098591509782529,Nano Monet: Nanotech engineering allows scientists to create the world's smallest masterpiece - http://t.co/1nlsJNSG4U,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,10,7,,,http://t.co/1nlsJNSG4U,http://timesofindia.indiatimes.com/home/science/Microscopic-art-Nano-Monet-is-worlds-smallest-masterpiece/articleshow/37929389.cms,118,,,,,,,,false,false,false,en
Mon Jul 07 10:40:15 +0000 2014,486097354328518657,Sania Mirza enters top-5 for first time in the WTA doubles chart. It's her career best  - http://t.co/8biffHOC3l,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,35,34,,,http://t.co/8biffHOC3l,http://timesofindia.indiatimes.com/sports/tennis/top-stories/Sania-Mirza-enters-top-5-for-first-time-in-her-career/articleshow/37947942.cms,112,,,,,,,,false,false,false,en
Mon Jul 07 10:35:13 +0000 2014,486096089276092416,Adolescence education: What's the right time to spread `The right message' -http://t.co/SYNnrjRnTK,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,11,5,,,http://t.co/SYNnrjRnTK,http://timesofindia.indiatimes.com/home/education/news/Adolescence-education-The-right-message/articleshow/37933988.cms,98,,,,,,,,false,false,false,en
Mon Jul 07 10:30:09 +0000 2014,486094814677463040,"Big four remain free of danger, says #Federer - http://t.co/NwyTyTrO4W","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,6,8,Federer,,http://t.co/NwyTyTrO4W,http://timesofindia.indiatimes.com/sports/tennis/wimbledon-2014/top-stories/Big-four-remain-free-of-danger-says-Federer/articleshow/37940847.cms,70,,,,,,,,false,false,false,en
Mon Jul 07 10:25:13 +0000 2014,486093571640942592,#Budget2014: Need of the hour in education http://t.co/mfiRJUnSKJ,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,,,,,,,,,,,8,12,Budget2014,,http://t.co/mfiRJUnSKJ,http://timesofindia.indiatimes.com/budget-2014/student/Budget-2014-Need-of-the-hour-in-education/articleshow/37935910.cms,65,,,,,,,,false,false,false,en
Mon Jul 07 10:23:12 +0000 2014,486093064658624514,"RT @foreignoffice: .@WilliamJHague and @George_Osborne writing in today's @TimesOfIndia on UK-India relationship, as they visit #India http?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,,,,,,,,,,,26,0,India,,http://t.co/Lhq07GPsQs,http://ow.ly/yQIp6,140,,,,,timesofindia,Times of India,134758540,false,false,false,en
